Qty,name,amazon link
1,small circle spi sreen,https://www.amazon.com/Screen-Display-240x240-Interface-Arduino/dp/B0GR44PSBL/132-4224079-3597343
1,water sensor,https://www.amazon.com/Ximimark-Sensor-Horizontal-Switch-Arduino/dp/B0B7WPBPBC
1,power suply for the led,https://www.amazon.com/dp/B0781JC2WK?_encoding=UTF8&psc=1
1,usb module,https://www.amazon.com/DSD-TECH-SH-U09C2-Debugging-Programming/dp/B07TXVRQ7V
1,soil moistor sensor,https://www.amazon.com/VKLSVAN-Capacitive-Corrosion-Resistant-Detection/dp/B0DQSCD5CV
1,pump,https://www.amazon.com/dp/B09GW5X4P2?_encoding=UTF8&psc=1
2m,pipes for the pump,https://www.amazon.com/Silicone-Flexible-Rubber-Tubing-Transparent/dp/B08HJJ13FG?
5,Red Led,
1,Blue Led,
1,power suply for the pump,same as the led but an another modul
