"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10k";;;
2;"R2";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"VT93xx";;;
3;"J7,J4";"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal";2;"Screw_Terminal_01x04";;;
4;"U2";"ESP32-C6-MINI-1psa";1;"ESP32-C6-MINI-1";;;
5;"C3,C1,C5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"100nF";;;
6;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"470";;;
7;"J9,J6,J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";3;"Screw_Terminal_01x02";;;
8;"C4,C6,C2";"CP_Radial_D5.0mm_P2.50mm";3;"10uF";;;
9;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
10;"R6,R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5,1k";;;
11;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
12;"K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SANYOU_SRD_Form_A";;;
13;"J8";"TerminalBlock_Phoenix_MKDS-1,5-7_1x07_P5.00mm_Horizontal";1;"Screw_Terminal_01x07";;;
14;"J1";"USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
15;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"350";;;
16;"Q1";"TO-39-3";1;"2N2222A";;;
17;"J3,J10";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";2;"Screw_Terminal_01x03";;;
18;"Q2";"SOT-23";1;"AO3400A";;;
19;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
20;"U3";"ASAIR_AM2302_P2.54mm_Vertical";1;"AM2302";;;
