"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5","3","100nF","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"C2,C4,C6","3","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"J1,J5,J6,J9","4","Screw_Terminal_01x02","DNP","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J2","1","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J3,J10","2","Screw_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"J4,J7","2","Screw_Terminal_01x04","","","","","~"
"J8","1","Screw_Terminal_01x07","","","","","~"
"K1","1","SANYOU_SRD_Form_A","","","","Relay_THT:Relay_SPST_SANYOU_SRD_Series_Form_A","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Q2","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1,R4","2","10k","","","","","~"
"R2","1","VT93xx","","","","OptoDevice:R_LDR_4.9x4.2mm_P2.54mm_Vertical","http://www.produktinfo.conrad.com/datenblaetter/125000-149999/140375-da-01-en-FOTOWIDERSTAND__VT_93_N2__THT_.pdf"
"R3","1","470","","","","","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","ESP32-C6-MINI-1","","","","RF_Module:ESP32-C6-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c6-mini-1_mini-1u_datasheet_en.pdf"
"U3","1","AM2302","","","","Sensor:ASAIR_AM2302_P2.54mm_Vertical","http://akizukidenshi.com/download/ds/aosong/AM2302.pdf"
